t  net  edges  BIC
5  123  438  236265.429941321
5  124  427  236236.542162288
5  125  432  236197.479064291
5  126  436  236225.699621528
5  127  430  236235.682138522
6  0  432  236195.287041635
6  1  435  236233.472150163
6  2  435  236194.381569566
6  3  435  236199.861706405
6  4  438  236209.586250923
6  5  436  236207.00812779
6  6  429  236238.84694761
6  7  433  236217.44363903
6  8  432  236153.708788062
6  9  431  236181.778631147
6  10  431  236213.128800214
6  11  434  236182.745295321
6  12  435  236195.774812194
6  13  439  236250.74453602
6  14  433  236197.135254546
6  15  439  236214.540370225
6  16  434  236216.76761241
6  17  433  236187.899991087
6  18  434  236210.206117864
6  19  437  236187.503165539
6  20  434  236214.671089735
6  21  429  236216.568379678
6  22  429  236208.056169503
6  23  432  236223.36476583
6  24  430  236291.708604807
6  25  433  236204.849594149
6  26  436  236221.748773433
6  27  429  236217.306077098
6  28  434  236200.608360563
6  29  434  236241.824413149
6  30  434  236228.404911339
6  31  433  236209.355479932
6  32  434  236192.191513197
6  33  438  236194.202776682
6  34  427  236201.244085111
6  35  434  236231.805686075
6  36  433  236168.140491062
6  37  434  236231.480652226
6  38  435  236219.782250285
6  39  430  236183.671098569
6  40  436  236215.017767457
6  41  433  236228.92948655
6  42  435  236202.096230252
6  43  440  236212.601371872
6  44  432  236275.125221122
6  45  429  236152.807090848
6  46  427  236211.299380749
6  47  431  236252.082211768
6  48  435  236195.094677161
6  49  430  236208.774684719
6  50  434  236158.076600249
6  51  437  236195.808228162
6  52  433  236286.356936178
6  53  435  236191.677728225
6  54  432  236186.220706273
6  55  433  236263.732059135
6  56  433  236234.016953076
6  57  433  236221.851236128
6  58  431  236229.204876214
6  59  435  236217.891237575
6  60  435  236235.370498239
6  61  435  236217.024486203
6  62  432  236246.14563561
6  63  433  236172.079310768
6  64  434  236182.9514513
6  65  437  236160.484702578
6  66  435  236164.178338429
6  67  434  236160.432382384
6  68  432  236194.468042381
6  69  437  236259.698436767
6  70  436  236306.385486803
6  71  430  236191.526515245
6  72  431  236174.236890107
6  73  431  236226.790787671
6  74  430  236185.921190584
6  75  432  236210.377241928
6  76  431  236203.140357269
6  77  429  236203.591398128
6  78  433  236262.246166661
6  79  439  236281.27667302
6  80  438  236227.705434345
6  81  429  236198.020807293
6  82  436  236228.885553338
6  83  434  236244.410615305
6  84  433  236254.279279207
6  85  434  236199.005813658
6  86  436  236225.808011563
6  87  432  236222.777257681
6  88  432  236169.245739933
6  89  432  236254.962213195
6  90  437  236184.597432509
6  91  433  236197.896439203
6  92  436  236208.036877076
6  93  436  236177.356057534
6  94  435  236226.816364489
6  95  439  236220.670945121
6  96  434  236203.362439775
6  97  436  236232.614307098
6  98  437  236200.770731877
6  99  438  236227.26355518
6  100  434  236213.779675913
6  101  430  236189.470570576
6  102  431  236199.087649389
6  103  434  236224.545263941
6  104  434  236180.917968065
6  105  432  236205.148605466
6  106  431  236196.873209767
6  107  432  236211.724695447
6  108  435  236191.016891325
6  109  432  236254.002940373
6  110  429  236227.987470337
6  111  428  236258.110765914
6  112  438  236225.583822929
6  113  436  236177.869108179
6  114  432  236176.345962094
6  115  424  236194.039178469
6  116  435  236193.32663552
6  117  430  236218.845276148
6  118  435  236244.019629095
6  119  434  236189.380879855
6  120  430  236182.019422395
6  121  436  236172.912320373
6  122  436  236233.93385777
6  123  439  236280.202138848
6  124  424  236221.402818966
6  125  436  236196.62533242
6  126  436  236244.776692933
6  127  431  236259.188234463
7  0  433  236201.666354831
7  1  433  236240.749291015
7  2  434  236202.376951511
7  3  437  236214.207092178
7  4  438  236196.764382424
7  5  434  236211.95696151
7  6  430  236234.713925814
7  7  434  236217.526726648
7  8  434  236177.658624278
7  9  433  236170.859371186
7  10  432  236209.980851612
7  11  432  236190.219359718
7  12  432  236189.902939159
7  13  439  236233.715273283
7  14  434  236189.051501213
7  15  438  236203.069362137
7  16  434  236218.742304522
7  17  434  236187.593277123
7  18  433  236219.472197115
7  19  436  236186.492127438
7  20  429  236230.046615368
7  21  425  236204.764202633
7  22  433  236223.596864126
7  23  428  236216.83161243
7  24  430  236316.017131423
7  25  431  236180.865483902
7  26  438  236218.517245598
7  27  430  236227.301726303
7  28  434  236210.329161047
7  29  431  236229.420287265
7  30  436  236239.642355978
7  31  434  236221.382610746
7  32  433  236181.46083636
7  33  435  236190.704464108
7  34  428  236212.013953059
7  35  434  236223.436208203
7  36  434  236180.482527087
7  37  432  236235.249257396
7  38  436  236233.09829906
7  39  426  236180.237896372
7  40  435  236224.886840738
7  41  430  236207.898986723
7  42  435  236205.215886045
7  43  440  236208.304481046
7  44  431  236262.027162551
7  45  430  236145.999899941
7  46  427  236210.089342293
7  47  433  236269.663513397
7  48  439  236200.875072702
7  49  427  236197.373304552
7  50  437  236183.149904127
7  51  439  236222.745544689
7  52  434  236273.312601416
7  53  435  236186.363716244
7  54  429  236197.863673403
7  55  435  236275.690788151
7  56  434  236232.565667374
7  57  430  236240.700919577
7  58  432  236224.551955748
7  59  435  236203.955747296
7  60  431  236238.309379143
7  61  437  236200.630946327
7  62  427  236242.048765841
7  63  434  236184.172394969
7  64  432  236186.165814936
7  65  434  236164.231755805
7  66  438  236168.659331377
7  67  437  236146.68084662
7  68  432  236187.959948722
7  69  435  236255.223232853
7  70  438  236290.934297936
7  71  435  236175.609860614
7  72  432  236161.412884976
7  73  431  236229.383096843
7  74  429  236188.778840945
7  75  433  236221.928407346
7  76  430  236185.83752937
7  77  433  236195.565674207
7  78  433  236269.444477225
7  79  436  236288.020758751
7  80  441  236245.033272295
7  81  431  236200.068062448
7  82  435  236221.083213507
7  83  435  236249.698850025
7  84  431  236246.083214366
7  85  431  236189.424134791
7  86  435  236217.40337724
7  87  431  236244.269577683
7  88  433  236167.827891475
7  89  433  236258.422450522
7  90  435  236158.108242978
7  91  434  236186.004412655
7  92  438  236207.124476549
7  93  436  236176.658727821
7  94  432  236221.571798112
7  95  436  236207.834750862
7  96  433  236184.153192206
7  97  437  236262.423517316
7  98  434  236198.597388177
7  99  435  236212.182476774
7  100  433  236203.683146842
7  101  431  236191.994258355
7  102  434  236190.57472925
7  103  435  236200.676021361
7  104  433  236161.278065797
7  105  434  236204.535687488
7  106  430  236198.315758347
7  107  435  236213.277386115
7  108  437  236184.587457505
7  109  430  236253.432203734
7  110  433  236215.58795759
7  111  430  236300.359608441
7  112  436  236229.571132659
7  113  437  236185.357405912
7  114  433  236175.748589419
7  115  426  236191.827065245
7  116  434  236192.588411544
7  117  429  236233.700018087
7  118  433  236241.47572639
7  119  436  236182.970137373
7  120  429  236179.09440477
7  121  433  236171.810022288
7  122  435  236228.863644621
7  123  439  236252.382997027
7  124  426  236210.474864595
7  125  431  236205.940513186
7  126  434  236240.10926904
7  127  436  236257.009044237
8  0  432  236195.100218077
8  1  437  236253.040748055
8  2  437  236205.572668789
8  3  435  236215.068600651
8  4  437  236204.805721176
8  5  433  236220.542328253
8  6  431  236227.730851673
8  7  436  236239.192189085
8  8  434  236172.261952032
8  9  435  236186.103707732
8  10  433  236207.243066065
8  11  432  236204.663377451
8  12  433  236185.469877667
8  13  438  236249.895405478
8  14  432  236187.479052822
8  15  439  236232.479315855
8  16  432  236202.936186147
8  17  436  236200.189699128
8  18  432  236217.434396896
8  19  435  236180.674265589
8  20  431  236226.776087868
8  21  426  236206.525616023
8  22  432  236210.082957653
8  23  430  236221.970404342
8  24  433  236313.665006011
8  25  428  236169.839414726
8  26  439  236231.291993324
8  27  431  236212.310718819
8  28  433  236192.437562898
8  29  433  236249.301191921
8  30  436  236254.704217332
8  31  432  236206.308983817
8  32  435  236195.27840679
8  33  436  236181.287756044
8  34  434  236219.773328377
8  35  435  236210.229971353
8  36  435  236172.081208952
8  37  436  236234.203933579
8  38  436  236216.154184474
8  39  428  236182.363514839
8  40  434  236227.013511537
8  41  432  236205.855039008
8  42  434  236202.740563983
8  43  440  236204.408521854
8  44  432  236261.071631923
8  45  432  236155.121062845
8  46  431  236242.44559324
8  47  432  236273.514320144
8  48  438  236194.793955381
8  49  427  236197.973124855
